文书标题,公示日期,详情url,决定书文号,被处罚个人姓名,被处罚个人单位,被处罚机构名称,机构负责人,案由,处罚依据,处罚内容,做出处罚机构的名称,处罚日期
大连银监局行政处罚信息公开表,2017-06-09,http://www.cbrc.gov.cn/chinese/home/docView/8262CBD864814B03A62B8C3ED7B069EB.html,大银监罚决字〔2017〕2号,,null,友利银行（中国）股份有限公司大连分行,吴在一,贷后管理不到位，导致个人消费贷款被挪用。,《个人贷款管理暂行办法》（银监会令2010年第2号）第三十四条、第三十五条、第四十二条；《中国银行业监督管理委员会关于进一步防范银行业金融机构与证券公司业务往来相关风险的通知》（银监发〔2006〕第97号）；《中华人民共和国银行业监督管理法》第四十六条。,罚款二十万元人民币,大连银监局,2017-6-1
大连银监局行政处罚信息公开表,2017-04-18,http://www.cbrc.gov.cn/chinese/home/docView/F6F71D693632464CA7DDAB83E5010055.html,大银监罚决字[ 2017]1号,,null,兴业银行股份有限公司大连分行,孟军,授信管理不严格，办理无真实贸易背景银行承兑汇票业务。,《中国银监会办公厅关于银行承兑汇票业务案件风险提示的通知》（银监办发〔2011〕206号）、《中国银监会办公厅关于加强银行承兑汇票业务监管的通知》（银监办发〔2012〕286号）、《商业汇票承兑、贴现与再贴现管理暂行办法》（银发[1997]216号）、《中华人民共和国银行业监督管理法》第四十六条。,罚款二十万元人民币,大连银监局,2017-3-29
大连银监局行政处罚信息公开表,2017-01-05,http://www.cbrc.gov.cn/chinese/home/docView/1794379C259845B0A9865CDEA6F5466C.html,大银监罚决字[ 2016]6号,,null,盛京银行股份有限公司大连分行,张允,未对某公司等7户企业进行集团客户统一授信管理。,《商业银行集团客户授信业务风险管理指引》（银监会令〔2010〕4号）第三条、第六条第一款；《中国银监会办公厅关于集团客户授信风险提示的通知》（银监办发〔2015〕181号）；《中华人民共和国银行业监督管理法》第四十六条。,罚款二十万元人民币,大连银监局,2016-12-22
大连银监局行政处罚信息公开表,2017-01-05,http://www.cbrc.gov.cn/chinese/home/docView/32BCE6BBC2694FF8A1D90B61662525A4.html,大银监罚决字[ 2016]5号,,null,盛京银行股份有限公司大连分行,张允,贷款资金转保证金、转定期存单质押用于开立银行承兑汇票。,《中国银监会办公厅关于银行承兑汇票业务案件风险提示的通知》（银监办发〔2011〕206号）、《中国银监会办公厅关于防范融资中介非法介入银行信贷业务的通知》(银监办发〔2012〕137号)、《中华人民共和国银行业监督管理法》第四十六条。,罚款二十万元人民币,大连银监局,2016-12-22
大连银监局行政处罚信息公开表,2017-01-05,http://www.cbrc.gov.cn/chinese/home/docView/28C5CD2F05D7464A9944EDB2DD2D4DDB.html,大银监罚决字[ 2016]4号,,null,盛京银行股份有限公司大连分行,张允,未按合同约定对贷款资金进行受托支付管理，导致贷款资金被挪用。,《流动资金贷款管理暂行办法》（银监会令〔2010〕1号）第九条、第二十七条、第三十条、第三十九条；中国银监会关于银行业服务实体经济的指导意见》（银监发〔2013〕9号）第七条；《中华人民共和国银行业监督管理法》第四十六条。,罚款二十万元人民币,大连银监局,2016-12-22
大连银监局行政处罚信息公开表,2016-11-22,http://www.cbrc.gov.cn/chinese/home/docView/34B8A8F629844F038A1CA73E3678E731.html,大银监罚决字[ 2016]3号,,null,营口银行股份有限公司大连分行,胡远洋,贷款资金转保证金、转定期存单质押用于开立银行承兑汇票。,《中国银监会办公厅关于银行承兑汇票业务案件风险提示的通知》（银监办发〔2011〕206号）、《中国银监会办公厅关于防范融资中介非法介入银行信贷业务的通知》（银监办发〔2012〕137号）、《中华人民共和国银行业监督管理法》第四十六条。,罚款二十万元人民币,大连银监局,2016-10-8
中国银监会大连监管局行政处罚信息公开表,2016-06-15,http://www.cbrc.gov.cn/chinese/home/docView/C68B21CB004841E79631F4CE7369F76C.html,大银监罚决字〔2015〕9号,--,null,瓦房店长兴村镇银行,姜春波,"贷后管理工作不到位，个人经营性贷款未按合同约定用途使用,贷款被挪用。",《个人贷款管理暂行办法》（中国银行业监督管理委员会令2010年第2号）第三十五条；《商业银行法》第三十五条、第四十二条；《中华人民共和国银行业监督管理法》第四十六条,罚款20万元,中国银监会大连监管局,2015-11-20
中国银监会大连监管局行政处罚信息公开表,2016-06-15,http://www.cbrc.gov.cn/chinese/home/docView/DB642CE4ABFA47FBBD32B08F29C7F602.html,大银监罚决字〔2015〕8号,--,null,瓦房店长兴村镇银行,姜春波,内控管理不到位，存在员工利用个人账户为客户过渡资金行为，严重违反审慎经营规则。,《中国银监会办公厅关于严禁银行业金融机构及其从业人员参与民间融资活动的通知》（银监办发【2012】160号）；《中国银监会办公厅关于加强银行业基层营业机构管理的通知》（银监办发【2013】245号；《中华人民共和国银行业监督管理法》第四十六条,罚款20万元,中国银监会大连监管局,2015-11-20
中国银监会大连监管局行政处罚信息公开表,2016-06-15,http://www.cbrc.gov.cn/chinese/home/docView/7F49BAA917E04F929A59D69C806162EE.html,大银监罚决字〔2015〕7号,--,null,大连农村商业银行股份有限公司,王国斌,内控管理不到位，存在员工利用个人账户为客户过渡资金行为，严重违反审慎经营规则。,《中国银监会办公厅关于严禁银行业金融机构及其从业人员参与民间融资活动的通知》（银监办发【2012】160号）；《中国银监会办公厅关于严禁农村中小金融机构参与民间融资活动的通知》（银监办发【2011】320号；《中华人民共和国银行业监督管理法》第四十六条,罚款20万元,中国银监会大连监管局,2015-11-18
中国银监会大连监管局行政处罚信息公开表,2016-06-15,http://www.cbrc.gov.cn/chinese/home/docView/1BF2D0F7E7B84EE285065C4B1E62DBE1.html,大银监罚决字〔2015〕6号,王家丹,null,----,----,在任大连农商银行高新园区龙王塘支行副行长(主持工作)期间，未对两笔合计2300万元贷款的抵押物房产权属的真实性进行认真调查，对2300万元贷款形成不良和损失负有直接责任。,《流动资金贷款管理暂行办法》（中国银行业监督管理委员会令2010年第1号）第十三条、《个人贷款管理暂行办法》（中国银行业监督管理委员会令2010年第2号）第十三条、第十四条，《商业银行法》第三十六条、第八十九条，《银行业监督管理法》第四十八条。,取消高级管理人员任职资格五年,中国银监会大连监管局,2015-11-18
中国银监会大连监管局行政处罚信息公开表,2016-06-15,http://www.cbrc.gov.cn/chinese/home/docView/A3A11B1861064EB097C8F43C2DA610DD.html,大银监罚决字〔2015〕5号,--,null,中信银行股份有限公司大连分行,郭琦,未有效监督流动资金贷款的使用情况，贷款被挪用。,《流动资金贷款管理暂行办法》（中国银行业监督管理委员会令2010年第1号）第九条、第三十条、第三十八条的规定，《中华人民共和国银行业监督管理法》第四十六条的规定。,罚款20万元,中国银监会大连监管局,2015-11-16
中国银监会大连监管局行政处罚信息公开表,2016-06-15,http://www.cbrc.gov.cn/chinese/home/docView/484A25478A1C4951AA939F36C9993271.html,大银监罚决字〔2015〕4号,--,null,兴业银行股份有限公司大连分行,孟军,信贷管理不到位，以贷转存,《固定资产贷款管理暂行办法》第三十三条，《中国银监会办公厅关于进一步加强信贷管理的通知》，《中国银监会关于整治银行业金融机构不规范经营的通知》，《中华人民共和国银行业监督管理法》第四十六条。,罚款20万元,中国银监会大连监管局,2015-11-10
中国银监会大连监管局行政处罚信息公开表,2016-06-15,http://www.cbrc.gov.cn/chinese/home/docView/C15DE45C338D4DB49266D44078780D00.html,大银监罚决字〔2015〕3号,--,null,吉林银行股份有限公司大连分行,梁晓,以贷转存发放存单质押贷款虚增存贷款规模,《中国银监会关于整治银行业金融机构不规范经营的通知》（银监发〔2012〕3号），《中国银监会办公厅关于进一步加强信贷管理的通知》（银监办发〔2009〕221号），《中华人民共和国银行业监督管理法》第四十六条,罚款45万元,中国银监会大连监管局,2015-10-27
中国银监会大连监管局行政处罚信息公开表,2016-06-15,http://www.cbrc.gov.cn/chinese/home/docView/93A2ECFF03B5474B96296601EC27AEA6.html,大银监罚决字〔2015〕2号,--,null,哈尔滨银行股份有限公司大连分行,栾学利,以贷转保证金开票,《关于加强商业银行存款偏离度管理有关事项的通知》（银监办发〔2014〕236号）第二条，《中华人民共和国银行业监督管理法》第四十六条。,罚款20万元,中国银监会大连监管局,2015-10-27
中国银监会大连监管局行政处罚信息公开表,2016-06-15,http://www.cbrc.gov.cn/chinese/home/docView/2509E1BD4EE84411A55C32DCC5DDB5C3.html,大银监罚决字〔2015〕1号,--,null,丹东银行股份有限公司大连分行,于浩然,以贷转存单质押开票,《关于加强商业银行存款偏离度管理有关事项的通知》（银监办发〔2014〕236号）第二条《中华人民共和国银行业监督管理法》第四十六条,罚款20万元,中国银监会大连监管局,2015-10-27
中国银监会大连监管局行政处罚信息公开表,2016-06-15,http://www.cbrc.gov.cn/chinese/home/docView/E99F153F28FD4D0089C0A77F8327CA53.html,大银监罚〔2015〕026号,--,null,国家开发银行大连市分行,曾丽卿,发放的中长期项目贷款资金由贷款转为银承保证金存款后，又通过开立银行承兑汇票、背书回开票企业，并由开票企业在他行贴现。,《中华人民共和国银行业监督管理法》第二十一条、第四十六条，《中国银监会办公厅关于进一步加强信贷管理的通知》（银监办发【2009】221号），《关于加强商业银行存款偏离度管理有关事项的通知》（银监办发【2014】236号），《中国银监会办公厅关于银行承兑汇票业务案件风险提示的通知》（银监办发【2011】206号）。,罚款45万元,中国银监会大连监管局,2015-10-12
中国银监会大连监管局行政处罚信息公开表,2016-06-15,http://www.cbrc.gov.cn/chinese/home/docView/20415D24DCFC44F18F2A8C6973A28E78.html,大银监罚〔2015〕025号,--,null,中国邮政储蓄银行股份有限公司大连分行,彭作刚,贷后管理不到位，发放的贷款资金被借款人违规挪用。,《流动资金贷款管理暂行办法》（中国银行业监督管理委员会令2010年第1号）第九条、第三十一条、第三十八条、第三十九条的规定；《中华人民共和国银行业监督管理法》第四十六条的规定。,罚款20万元,中国银监会大连监管局,2015-9-29
中国银监会大连监管局行政处罚信息公开表,2016-06-15,http://www.cbrc.gov.cn/chinese/home/docView/C35E7D0B274B43F7AFC97990B6965C6B.html,大银监罚〔2015〕022号,--,null,瑞穗银行（中国）有限公司大连分行,铃木完 ,未按公布的收费价格目录收费。,《商业银行法》第五十条、《中国银监会关于整治银行业金融机构不规范经营的通知》（银监发【2012】3号）、《商业银行法》第七十三条。,罚款20万元,中国银监会大连监管局,2015-9-15
中国银监会大连监管局行政处罚信息公开表,2016-06-15,http://www.cbrc.gov.cn/chinese/home/docView/C7947D81B15641E79AAB3691CD5F804D.html,大银监罚〔2015〕023号,--,null,中国邮政储蓄银行股份有限公司大连分行,彭作刚,非法返利吸收存款。,《中华人民共和国银行业监督管理法》第四十六条的规定；《中国银行业监督管理委员会办公厅关于规范市场竞争、严禁高息揽存的通知》（银监办发【2010】248号）。,罚款20万元,中国银监会大连监管局,2015-9-15
中国银监会大连监管局行政处罚信息公开表,2016-06-15,http://www.cbrc.gov.cn/chinese/home/docView/B868994F3CDA4F199CA1AC6413F0D704.html,大银监罚〔2015〕008号,--,null,大连银行第一中心支行,夏立国,违规为他行同业投资业务提供隐性担保，且未记账。,《中国人民共和国银行业监督管理法》第二十一条；《商业银行表外业务管理指引》第十四条；《关于有效防范企业债担保风险的意见》（银监发【2007】75号）第三条；《中国银监会大连监管局关于严格大连银行相关业务准入的监管意见》（大银监发【2013】86号）第二条；《中华人民共和国银行业监督管理法》第四十六条。,罚款20万元,中国银监会大连监管局,2015-4-20
中国银监会大连监管局行政处罚信息公开表,2016-06-15,http://www.cbrc.gov.cn/chinese/home/docView/6BAE239C74644AE3BADC017B0EDE2CC2.html,大银监罚〔2015〕007号,--,null,锦州银行大连分行,路思伟,未对同业业务收费标准进行公示。,《中国银监会关于整治银行业金融机构不规范经营的通知》（银监发【2012】3号）；《中华人民共和国银行业监督管理法》第四十六条。,罚款20万元,中国银监会大连监管局,2015-3-23
中国银监会大连监管局行政处罚信息公开表,2016-06-15,http://www.cbrc.gov.cn/chinese/home/docView/BD27A4DBDC1E42C190D16721172018B0.html,大银监罚〔2015〕006号,--,null,中国银行辽宁省分行,黄志强,转嫁房屋登记费。,《国家发改委、财政部关于规范房屋登记费计费方式和收费标准等有关问题的通知》（发改价格【2008】924号）第五条；《中国银监会关于整治银行业金融机构不规范经营的通知》（银监发【2012】3号）第一条；《中华人民共和国银行业监督管理法》第四十六条。,罚款30万元,中国银监会大连监管局,2015-3-20
中国银监会大连监管局行政处罚信息公开表,2016-06-15,http://www.cbrc.gov.cn/chinese/home/docView/B72AA5D2C2074CB2A8589F9A32A87B3F.html,大银监罚〔2015〕005号,--,null,大连农村商业银行股份有限公司,王国斌,违规收取财务顾问费。,《中国银监会关于整治银行业金融机构不规范经营的通知》（银监发【2012】3号），《中华人民共和国银行业监督管理法》第四十六条。,罚款20万元,中国银监会大连监管局,2015-3-18
中国银监会大连银监局行政处罚信息公开表,2016-06-15,http://www.cbrc.gov.cn/chinese/home/docView/96C42C6128194975BF258288F9886C8C.html,大银监罚〔2011〕 1号,,null,日本山口银行股份有限公司大连分行,桧 垣 裕 文,违规发放用于固定资产项目建设前期投入的流动资金贷款。,《流动资金贷款管理暂行办法》（中国银行业监督管理委员会令2010年第1号）第九条、第三十九条的规定；《中华人民共和国银行业监督管理法》第四十六条的规定；《中国银监会关于规范银行业金融机构搭桥贷款业务的通知》（银监发[2010]35号）的规定。,罚款人民币二十万元,中国银监会大连银监局,2011-12-21
中国银行业监督管理委员会海南监管局行政处罚信息公开表,2017-08-30,http://www.cbrc.gov.cn/chinese/home/docView/9C87CB0FF7D04D3292BADBD96EF8E029.html,琼银监罚〔2017〕29号,——,null,海口农村商业银行股份有限公司,吴敏,发放个人贷款后未采取有效方式对贷款资金使用进行跟踪检查和监管分析，对借款人违背合同约定的行为应发现而未发现，违反了《个人贷款管理暂行办法》第三十五条及第三十七条的规定。,《中华人民共和国银行业监督管理法》第四十六条第五款。,罚款人民币二十五万元,中国银行业监督管理委员会海南监管局,2017-8-10
中国银行业监督管理委员会海南监管局行政处罚信息公开表,2017-08-30,http://www.cbrc.gov.cn/chinese/home/docView/B6B7986AE56E4CEAAA0429E56A821575.html,琼银监罚〔2017〕28号,——,null,中信银行股份有限公司海口分行,何永红,向借款人发放个人贷款“三查”不尽职，违反了《个人贷款管理暂行办法》第十三条、第十八条、第三十一条及第三十五条的规定。,《中华人民共和国银行业监督管理法》第四十六条第五款。,罚款人民币二十五万元,中国银行业监督管理委员会海南监管局,2017-8-10
中国银行业监督管理委员会海南监管局行政处罚信息公开表,2017-08-18,http://www.cbrc.gov.cn/chinese/home/docView/49C73074ADF14ADCA7F8BD49B4542223.html,  琼银监罚〔2017〕29号,-----,null,海口农村商业银行股份有限公司,吴敏 ,当事人存在发放个人贷款后未采取有效方式对贷款资金使用进行跟踪检查和监管分析、对借款人违背合同约定的行为应发现而未发现的违法行为，违反了《个人贷款管理暂行办法》第三十五条、第三十七条的规定。,根据《个人贷款管理暂行办法》第四十二条和《中华人民共和国银行业监督管理法》第四十六条、第四十八条规定。,给予当事人罚款人民币二十五万元的行政处罚,中国银行业监督管理委员会海南监管局,2017-08-10
中国银行业监督管理委员会海南监管局行政处罚信息公开表,2017-08-18,http://www.cbrc.gov.cn/chinese/home/docView/FF46803A01784241947F47B8A5B79139.html,  琼银监罚〔2017〕28号,-----,null,中信银行股份有限公司海口分行,何永红,"当事人存在向借款人发放个人贷款“三查”不尽职的违法行为,违反了《个人贷款管理暂行办法》第十三条、第十八条、第三十一条和第三十五条的规定。",《个人贷款管理暂行办法》第四十二条以及《中华人民共和国银行业监督管理法》第四十六条和第四十八条的规定。,给予当事人罚款人民币二十五万元的行政处罚,中国银行业监督管理委员会海南监管局,2017-08-10
中国银行业监督管理委员会海南监管局行政处罚信息公开表,2017-07-25,http://www.cbrc.gov.cn/chinese/home/docView/C898D254B419456D8AA47F0D211DD9F3.html,琼银监罚〔2017〕23号,——,null,中国东方资产管理股份有限公司海南省分公司,林海,未按规定对风险资产进行分类，通过卖出回购减少计提资产减值准备，虚增利润的违法行为，违反了《中华人民共和国银行业监督管理法》第二十一条的规定。,《《中华人民共和国银行业监督管理法》第四十六条第五款,罚款人民币三十万元,中国银行业监督管理委员会海南监管局,2017-7-13
中国银行业监督管理委员会海南监管局行政处罚信息公开表,2017-06-20,http://www.cbrc.gov.cn/chinese/home/docView/D868236D003445D3897D6E86D94DA80B.html,琼银监罚〔2017〕22号,——,null,儋州市农村信用合作联社,钟捷锦,当事人未有效跟踪监督贷款使用情况，导致信贷资金被挪用的违法行为，违反了《固定资产贷款管理暂行办法》第七条、第二十二条及第二十六条的规定。,《《中华人民共和国银行业监督管理法》第四十六条第五款,罚款人民币三十五万元,中国银行业监督管理委员会海南监管局,2017-6-2
中国银行业监督管理委员会海南监管局行政处罚信息公开表,2017-06-20,http://www.cbrc.gov.cn/chinese/home/docView/57A58203E8A14E598799D919E331E112.html,琼银监罚〔2017〕21号,王咸仁,null,——,——,当事人违反同一借款人贷款比例规定发放贷款的违法行为，违反了《中华人民共和国商业银行法》第三十九条的规定。,《中华人民共和国银行业监督管理法》第四十八条第二款,给予警告的行政处罚,中国银行业监督管理委员会海南监管局,2017-6-2
中国银行业监督管理委员会海南监管局行政处罚信息公开表,2017-06-20,http://www.cbrc.gov.cn/chinese/home/docView/37400CF5EE7B483D962C16D82542343B.html,琼银监罚〔2017〕20号,蒲德荣,null,——,——,当事人未有效跟踪监督贷款使用情况，导致信贷资金被挪用的违法行为，违反了《固定资产贷款管理暂行办法》第七条、第二十二条及第二十六条的规定。,《中华人民共和国银行业监督管理法》第四十八条第二款,给予警告的行政处罚,中国银行业监督管理委员会海南监管局,2017-6-2
中国银行业监督管理委员会海南监管局行政处罚信息公开表,2017-06-20,http://www.cbrc.gov.cn/chinese/home/docView/924DAFD771B541F5B56B2321B18BE8D6.html,琼银监罚〔2017〕19号,羊锦兴,null,——,——,当事人未有效跟踪监督贷款使用情况，导致信贷资金被挪用的违法行为，违反了《固定资产贷款管理暂行办法》第七条、第二十二条及第二十六条的规定。,《中华人民共和国银行业监督管理法》第四十八条第二款,给予警告的行政处罚,中国银行业监督管理委员会海南监管局,2017-6-2
中国银行业监督管理委员会海南监管局行政处罚信息公开表,2017-06-20,http://www.cbrc.gov.cn/chinese/home/docView/BA79306422DA4610B58B06473D3338AB.html,琼银监罚〔2017〕18号,——,null,定安县农村信用合作联社,陈武达,当事人违反同一借款人贷款比例规定发放贷款的违法行为，违反了《中华人民共和国商业银行法》第三十九条的规定。,《中华人民共和国商业银行法》第七十五条第三款,罚款人民币三十万元,中国银行业监督管理委员会海南监管局,2017-6-2
中国银行业监督管理委员会海南监管局行政处罚信息公开表,2017-06-20,http://www.cbrc.gov.cn/chinese/home/docView/F4B0C45B93A143B2882CB68F600976E4.html,琼银监罚〔2017〕17号,——,null,陵水黎族自治县农村信用合作联社,蒲为寿,当事人违反同一借款人贷款比例规定发放贷款的违法行为，违反了《中华人民共和国商业银行法》第三十九条的规定。,《中华人民共和国商业银行法》第七十五条第三款,罚款人民币三十万元,中国银行业监督管理委员会海南监管局,2017-6-2
中国银行业监督管理委员会海南监管局行政处罚信息公开表,2017-05-19,http://www.cbrc.gov.cn/chinese/home/docView/92D8ED50FE90413CBA20DF7BD454CE6F.html,琼银监罚〔2017〕9号,-----,null,中国邮政储蓄银行股份有限公司海南省分行,李斌,当事人存在贷后管理不到位、未发现借款人违反合同约定行为导致贷款资金被挪用的违法行为，违反了《个人贷款管理暂行办法》第三十五条、第三十七条和《贷款通则》第三十一条的规定。,《中华人民共和国银行业监督管理法》第四十六条第五款的规定。,给予当事人人民币二十五万元的行政处罚,中国银行业监督管理委员会海南监管局,2017-5-10
中国银行业监督管理委员会海南监管局行政处罚信息公开表,2017-05-19,http://www.cbrc.gov.cn/chinese/home/docView/2DCAEA3C4ECC402598AE76D6F1B32509.html,  琼银监罚〔2017〕8号,吴奇柏,null,-----,-----,当事人在办理信用卡业务中履职不到位，未认真履行资信核查人员职责，致使客户凭借虚假财力证明材料办理信用卡的违法行为，违反了《商业银行信用卡业务监督管理办法》第四十一条的规定。,《中华人民共和国银行业监督管理法》第四十八条第二款的规定。,给予当事人警告的行政处罚,中国银行业监督管理委员会海南监管局,2017-5-2
中国银行业监督管理委员会海南监管局行政处罚信息公开表,2017-05-19,http://www.cbrc.gov.cn/chinese/home/docView/D32AF319E0D8463DAA6F304C0F3D57C9.html,琼银监罚〔2017〕7号,-----,null,中国银行股份有限公司海南省分行,常冰雁,当事人存在内控管理制度执行不到位，致使客户凭借虚假财力证明材料办理信用卡的违法行为，违反了《商业银行信用卡业务监督管理办法》第四十一条和第九十一条的规定。,《中华人民共和国银行业监督管理法》第四十六条第五款的规定。,给予当事人人民币三十万元的行政处罚,中国银行业监督管理委员会海南监管局,2017-5-2
中国银行业监督管理委员会海南监管局行政处罚信息公开表,2017-03-20,http://www.cbrc.gov.cn/chinese/home/docView/C6FAD12B684E4E099A58A0D35BF03BC0.html,琼银监罚〔2017〕3号,罗华,null,———,———,当事人存在贷款“三查”不尽职的违法行为，违反了《个人贷款管理暂行办法》第十三条和《贷款通则》第二十七条、第三十一条的规定。,《个人贷款管理暂行办法》第四十二条和《中华人民共和国银行业监督管理法》第四十八条第二款。,给予警告的行政处罚,中国银行业监督管理委员会海南监管局,2017-2-20
